Date,Model,Device,Type,TPT,FPT,CPT,ACMDR,SCT,AIT,SIM,NIGHT,HLL,LLL,P,6.0,F,1,2.0,A,B,Record,T&R,Role,Sorties,NT,SIT,IPT,NVG,Mission Code,CAT/JATO,Remarks,DayLdg,NPS,PS,NightLdg,NPA,PA,ShipArrest,Time,Approaches,PIC,SIC
2011-02-08 20:39:00,2B37,9,Simulator,0.7,,0.7,,,,,,,,,,,,,,,C11UF8T,,STUDENT_PILOT,1,,,,,2Q5,,Practice Sim-J F Lawrence,,,,,,,,20:39,,,0.7
2011-02-09 17:58:00,2B37,16,Simulator,1.3,1.3,,,,,,,,,,,,,,,,C11U793,,STUDENT_PILOT,1,,,,,1D2,,C2001-nan,,,,,,,,17:58,,,1.3
2011-02-10 19:18:00,2B37,12,Simulator,1.3,1.3,,,,,,,,,,,,,,,,C11U7HP,,STUDENT_PILOT,1,,,,,1D2,,C2002-nan,,,,,,,,19:18,,,1.3
2011-02-10 20:39:00,2B37,12,Simulator,0.7,,0.7,,,,,,,,,,,,,,,C11UF8N,,STUDENT_PILOT,1,,,,,2Q5,,Practice Sim-M C Sparklin,,,,,,,,20:39,,,0.7
2011-02-11 19:18:00,2B37,9,Simulator,1.3,1.3,,,,,,,,,,,,,,,,C11U7QC,,STUDENT_PILOT,1,,,,,1D2,,C2003-nan,,,,,,,,19:18,,,1.3
2011-02-15 07:18:00,2B37,15,Simulator,1.3,1.3,,,,,,,,,,,,,,,,C11U86X,,STUDENT_PILOT,1,,,,,1D2,,C2004-nan,,,,,,,,07:18,,,1.3
2011-02-16 16:38:00,2B37,12,Simulator,1.3,1.3,,,,,,,,,,,,,,,,C11U8J7,,STUDENT_PILOT,1,,,,,1D2,,C2005-nan,,,,,,,,16:38,,,1.3
2011-02-18 11:18:00,2B37,25,Simulator,1.3,1.3,,,,,,,,,,,,,,,,C11U8UD,,STUDENT_PILOT,1,,0.3,,,1D2,,C2005-nan,,,,,,,,11:18,,,1.3
2011-03-01 09:30:00,T-34C,160933,Aircraft,1.5,0.8,0.7,,,,,,,,,,,,,,,C11UAFR,,STUDENT_PILOT,1,,,,,1D1,,C4001-M J EGAN,1,,,,,,,09:30,,,1.5
2011-03-14 14:35:00,T-34C,160479,Aircraft,1.2,1.0,0.2,,,,,,,,,,,,,,,C11UCQB,,STUDENT_PILOT,1,,,,,1D1,,C4001-M J EGAN,2,,,,,,,14:35,,,1.2
2011-03-17 12:07:00,T-34C,160484,Aircraft,1.7,1.4,0.3,,,,,,,,,,,,,,,C11UDA9,,STUDENT_PILOT,1,,,,,1D1,,C4002-M J EGAN,6,,,,,,,12:07,,,1.7
2011-03-19 17:28:00,T-34C,162267,Aircraft,1.6,1.3,0.3,,,,,,,,,,,,,,,C11UDTB,,STUDENT_PILOT,1,,,,,1D1,,C4003-M J EGAN,5,,,,,,,17:28,,,1.6
2011-03-21 15:22:00,T-34C,161841,Aircraft,1.6,1.3,0.3,,,,,,,,,,,,,,,C11UDWZ,,STUDENT_PILOT,1,,,,,1D1,,C4004-M J EGAN,6,,,,,,,15:22,,,1.6
2011-03-21 17:59:00,2B37,16,Simulator,0.6,,0.6,,,,,,,,,,,,,,,C11UK85,,STUDENT_PILOT,1,,,,,2Q5,,Practice Sim-E A Eastman,,,,,,,,17:59,,,0.6
2011-03-22 09:58:00,2B37,13,Simulator,1.3,1.3,,,,,,,,,,,,,,,,C11UE20,,STUDENT_PILOT,1,,1.3,,,1D2,,I2001-nan,,,,,,,,09:58,,,1.3
2011-03-22 16:40:00,2B37,13,Simulator,0.6,,0.6,,,,,,,,,,,,,,,C11UK8M,,STUDENT_PILOT,1,,,,,2Q5,,Practice Sim-E A Eastman,,,,,,,,16:40,,,0.6
2011-03-23 16:38:00,2B37,16,Simulator,1.3,1.3,,,,,,,,,,,,,,,,C11UEDW,,STUDENT_PILOT,1,,1.3,,,1D2,,I2002-nan,,,,,,,,16:38,,,1.3
2011-03-24 15:18:00,2B37,15,Simulator,1.3,1.3,,,,,,,,,,,,,,,,C11UELJ,,STUDENT_PILOT,1,,1.3,,,1D2,,I2003-nan,,,,,,,,15:18,,,1.3
2011-03-25 07:18:00,2B37,9,Simulator,1.3,1.3,,,,,,,,,,,,,,,,C11UEPY,,STUDENT_PILOT,1,,1.3,,,1D2,,I2004-nan,,,,,,,,07:18,,,1.3
2011-03-26 11:18:00,2B37,15,Simulator,1.3,1.3,,,,,,,,,,,,,,,,C11UEXQ,,STUDENT_PILOT,1,,1.3,,,1D2,,I2101-nan,,,,,,,,11:18,,,1.3
2011-03-26 16:38:00,2B37,16,Simulator,1.3,1.3,,,,,,,,,,,,,,,,C11UEZW,,STUDENT_PILOT,1,,1.3,,,1D2,,I2102-nan,,,,,,,,16:38,,,1.3
2011-03-28 20:38:00,2B37,14,Simulator,1.3,1.3,,,,,,,,,,,,,,,,C11UF76,,STUDENT_PILOT,1,,1.3,,,1D2,,I2103-nan,,,,,,,,20:38,,,1.3
2011-03-30 11:00:00,T-34C,160515,Aircraft,2.0,1.5,0.5,,,,,,,,,,,,,,,C11UFHT,,STUDENT_PILOT,1,,1.5,,,1D2,,"I4002-D B Blume, I4001-D B Blume",,,,,,,,11:00,,,2.0
2011-03-31 10:54:00,T-34C,161800,Aircraft,1.9,1.6,0.3,,,,,,,,,,,,,,,C11UFQ3,,STUDENT_PILOT,1,,,,,1D1,,C4101-M J EGAN,4,,,,,,,10:54,,,1.9
2011-04-01 19:56:00,T-34C,161800,Aircraft,1.6,1.1,0.5,,,,,,,,,,,,,,,C11UG43,,STUDENT_PILOT,1,0.5,1.1,,,1D2,,I4003-J C Mattingly,,,,,,,,19:56,,,1.6
2011-04-05 13:20:00,T-34C,161033,Aircraft,2.0,1.7,0.3,,,,,,,,,,,,,,,C11UGK2,,STUDENT_PILOT,1,,,,,1D1,,C4102-C T Casey,7,,,,,,,13:20,,,2.0
2011-04-12 12:30:00,T-34C,164166,Aircraft,2.2,1.7,0.5,,,,,,,,,,,,,,,C11UHE6,,STUDENT_PILOT,1,,,,,1D1,,C4103-D M Sortman,10,,,,,,,12:30,,,2.2
2011-04-13 17:25:00,T-34C,162283,Aircraft,1.9,1.6,0.3,,,,,,,,,,,,,,,C11UHMQ,,STUDENT_PILOT,1,,,,,1D1,,C4104-C E Archer,8,,,,,,,17:25,,,1.9
2011-04-18 10:45:00,T-34C,161848,Aircraft,0.3,0.2,0.1,,,,,,,,,,,,,,,C11UI7F,,STUDENT_PILOT,1,,,,,1D1,,C4201-M J EGAN,4,,,,,,,10:45,,,0.3
2011-04-22 14:46:00,T-34C,161797,Aircraft,2.0,1.6,0.4,,,,,,,,,,,,,,,C11UJ2I,,STUDENT_PILOT,1,,,,,1D1,,C4201-M J EGAN,6,,,,,,,14:46,,,2.0
2011-04-28 14:35:00,T-34C,160633,Aircraft,1.9,1.7,0.2,,,,,,,,,,,,,,,C11UJZ7,,STUDENT_PILOT,1,,,,,1D1,,C4202-M J EGAN,8,,,,,,,14:35,,,1.9
2011-04-29 10:20:00,T-34C,162269,Aircraft,2.0,1.8,0.2,,,,,,,,,,,,,,,C11UK62,,STUDENT_PILOT,1,,,,,1D1,,C4203-M J EGAN,9,,,,,,,10:20,,,2.0
2011-05-04 13:55:00,T-34C,161837,Aircraft,2.3,2.0,0.3,,,,,,,,,,,,,,,C11UL0J,,STUDENT_PILOT,1,,,,,1D1,,C4204-J E Saunders,18,,,,,,,13:55,,,2.3
2011-05-05 11:00:00,T-34C,162262,Aircraft,1.8,1.5,0.3,,,,,,,,,,,,,,,C11UL7R,,STUDENT_PILOT,1,,,,,1D1,,C4390-M F ENGLAND,9,,,,,,,11:00,,,1.8
2011-05-05 16:30:00,T-34C,162278,Aircraft,1.5,1.5,,,,,,,,,,,,,,,,C11ULAI,,STUDENT_PILOT,1,,,,,1D1,,C4401-nan,5,,,,,,,16:30,,,1.5
2011-05-06 19:40:00,T-34C,161845,Aircraft,1.8,1.3,0.5,,,,,,,,,,,,,,,C11ULKZ,,STUDENT_PILOT,1,,,,,1D1,,C4501-J E Meyer,6,,,,,,,19:40,,,1.8
2011-05-07 18:00:00,T-34C,160535,Aircraft,1.8,1.5,0.3,,,,,,,,,,,,,,,C11ULOR,,STUDENT_PILOT,1,,,,,1D1,,C4502-T A BARNHART,6,,,,,,,18:00,,,1.8
2011-05-13 15:45:00,T-34C,164160,Aircraft,1.5,1.2,0.3,,,,,,,,,,,,,,,C11UMJM,,STUDENT_PILOT,1,,,,,1D1,,C4502-C E Archer,4,,,,,,,15:45,,,1.5
2011-05-16 16:10:00,T-34C,161836,Aircraft,1.9,1.9,,,,,,,,,,,,,,,,C11UMVH,,STUDENT_PILOT,1,,,,,1D1,,C4503-nan,5,,,,,,,16:10,,,1.9
2011-05-17 11:00:00,T-34C,161815,Aircraft,1.7,1.5,0.2,,,,,,,,,,,,,,,C11UMZV,,STUDENT_PILOT,1,,,,,1D1,,C4506-M J EGAN,8,,,,,,,11:00,,,1.7
